Land;Brand;Status;Week;Old_mat;New_mat;Art_nr;Prod_grp;Description_SE;Descripiton_DK;GTIN_CU;GTIN_TU;GTIN_Pallet;Type_nr;SP_CU;Depth_CU;Width_CU;Height_CU;Weight_kg_CU;CU_TU;(CU_TU);Depth_TU;Width_TU;Height_TU;Weight_kg_TU;TU_Layer;TU_Pallet;Hi_inc_Pal;GW_PU_kg;NW_PU_kg;DVH_CU   ;DVH_TU;FH_CU;FH_TU
Nordic;Melitta;;;;5754007;17339;THERMKANNOR ;TERMOKANNA LINEA UNICA THERM;TERMOKANDELINEA UNICA THERM;4,01E+12;4,01E+12;4,01E+12;;1;170;170;179;0,88;1;;170;170;179;0,9;24;216;1010;;;330,7;330,7;330,7;330,7
Nordic;Melitta;;;;6588090;17340;GLASKANNOR ;GLASKANNA LOOK MOTION;GLASKANDE LOOK MOTION;4,01E+12;4,01E+12;4,01E+12;;1;166;190;127;0,34;1;;169;192;128;0,4;28;196;1040;;;110,2;110,2;108,1;108,1
Nordic;Melitta;;;;6578213;17644;GLASKANNOR ;GLASKANNA EXCELLENT STEEL 1,3 L;GLASKANDE EXCELLENT STEEL 1,3 L;4,01E+12;4,01E+12;;;1;144;186;176;0,46;1;;147;190;177;0,5;32;160;1030;;;90,1;90,1;98,6;98,6
Nordic;Melitta;;;;6588137;17777;GLASKANNOR ;GLASKANNA LOOK II, SVART;GLASKANDE LOOK II, SORT;4,01E+12;4,01E+12;4,01E+12;;1;175;190;136;0,44;1;;175;190;136;0,3;24;144;961;;;102,8;102,8;103,9;103,9
Nordic;Melitta;;;;6588199;17779;GLASKANNOR ;GLASKANNA LOOK DE LUXE II, SVART;GLASKANDE LOOK DE LUXE II, SORT;4,01E+12;4,01E+12;4,01E+12;;1;175;190;136;0,44;1;;175;190;136;0,3;24;144;961;;;103,9;103,9;103,9;103,9
Nordic;Melitta;;;;5860029;18151;THERMKANNOR ;TERMOKANNA LOOK II, SVART;TERMOKANDE LOOK II, SORT;4,01E+12;4,01E+12;4,01E+12;;1;182;182;186;0,91;1;6;182;182;186;0,9;24;120;1200;;;159;159;150,5;150,5
Nordic;Melitta;;;;5860005;18153;THERMKANNOR ;TERMOKANNA LOOK  II, VIT;TERMOKANDE LOOK  II, HVID;4,01E+12;4,01E+12;4,01E+12;;1;182;182;186;0,91;1;6;182;182;186;0,9;24;120;1200;;;159;159;150,5;150,5
Nordic;Melitta;;;;6505288;18551;GLASKANNOR ;GLASKANNA OPTIMA;GLASKANDE OPTIMA;4,01E+12;4,01E+12;4,01E+12;;1;155;155;147;0,38;1;;155;155;147;0,4;24;144;1147;;;103,9;103,9;103,9;103,9
Nordic;Melitta;N;w 10 17;;6760569;18900;TILLBEHÖR ;FILTERTRATT EXCELLENT 4.0 SVART;TRAGT EXCELLENT 4.0 SORT;4,01E+12;4,01E+12;4,01E+12;;1;150;150;144;0,15;1; ;150;150;144;0,15;;;;;;60;60;60;60
Nordic;Melitta;;;;6518882;18970;GLASKANNOR ;GLASKANNA STAGE;GLASKANDE STAGE;4,01E+12;4,01E+12;4,01E+12;;1;149;147;175;0,46;1;;145;145;170;0,8;24;216;945;;;114,5;114,5;114,5;114,5
Nordic;Melitta;;;;6518899;18971;THERMKANNOR ;TERMOKANNA EXCELLENT ;TERMOKANDEEXCELLENT ;4,01E+12;4,01E+12;4,01E+12;;1;180;180;200;1,154;1;;180;180;200;1,1;24;120;1250;;;327,5;327,5;327,5;327,5
Nordic;Melitta;;;6626259;6761195;19377;VATTENKOKARE ;VATTENKOKARE LOOK AQUA VARIO SVART/SILVER;ELKEDEL LOOK AQUA VARIO SORT/SILVER;4,01E+12;4,01E+12;4,01E+12;H203-2;1;172;217;275;1,2;1;9;217;172;275;1,2;18;54;1120;;;469;469;380;380
