Land;Brand;Status;Week;Old_mat;New_mat;Art_nr;Prod_grp;Description_SE;Descripiton_DK;GTIN_CU;GTIN_TU;GTIN_Pallet;Type_nr;SP_CU;Depth_CU;Width_CU;Height_CU;Weight_kg_CU;CU_TU;(CU_TU);Depth_TU;Width_TU;Height_TU;Weight_kg_TU;TU_Layer;TU_Pallet;Hi_inc_Pal;GW_PU_kg;NW_PU_kg;DVH_CU   ;DVH_TU;FH_CU;FH_TU;NET_III;REK_UT_PRIS;Promo_pris;ICA;Coop;B-dahl;Axfood;EEL ;Elkjöp;Mediamarkt;Expert;DK;Transferpris 2013 per PC (materialnr);Kalkylerat lagervärde Klippan 2013 per PC (EAN);;CU   ;TU;VEJLEDE_PRIS;Promo_pris;Miljö_märkt;C_ Code
Nordic;Melitta;;;;5860005;18153;THERMKANNOR ;TERMOKANNA LOOK  II, VIT;TERMOKANDE LOOK  II, HVID;4,01E+12;4,01E+12;4,01E+12;;1;182;182;186;0,91;1;6;182;182;186;0,9;24;120;1200;;;159;159;150,5;150,5;;;;;;;;;;;;;71,47;72,97999994;1,509999941;;;;;;96170000
Nordic;Melitta;;;;6505288;18551;GLASKANNOR ;GLASKANNA OPTIMA;GLASKANDE OPTIMA;4,01E+12;4,01E+12;4,01E+12;;1;155;155;147;0,38;1;;155;155;147;0,4;24;144;1147;;;103,9;103,9;103,9;103,9;;;;;;;;;;;;;26,9092;26,91999998;0,010799978;;;;;;70134200
Nordic;Melitta;N;w 10 17;;6760569;18900;TILLBEHÖR ;FILTERTRATT EXCELLENT 4.0 SVART;TRAGT EXCELLENT 4.0 SORT;4,01E+12;4,01E+12;4,01E+12;;1;150;150;144;0,15;1; ;150;150;144;0,15;;;;;;60;60;60;60;;;;;;;;;;;;;;;;;;;;;39241000
Nordic;Melitta;;;;6518882;18970;GLASKANNOR ;GLASKANNA STAGE;GLASKANDE STAGE;4,01E+12;4,01E+12;4,01E+12;;1;149;147;175;0,46;1;;145;145;170;0,8;24;216;945;;;114,5;114,5;114,5;114,5;;;;;;;;;;;;;32,4174;32,42999998;0,012599983;;;;;;70134200
Nordic;Melitta;;;;6518899;18971;THERMKANNOR ;TERMOKANNA EXCELLENT ;TERMOKANDEEXCELLENT ;4,01E+12;4,01E+12;4,01E+12;;1;180;180;200;1,154;1;;180;180;200;1,1;24;120;1250;;;327,5;327,5;327,5;327,5;;;;;;;;;;;;;119,2;;-119,2;;;;;;96170000
Nordic;Melitta;;;6626259;6761195;19377;VATTENKOKARE ;VATTENKOKARE LOOK AQUA VARIO SVART/SILVER;ELKEDEL LOOK AQUA VARIO SORT/SILVER;4,01E+12;4,01E+12;4,01E+12;H203-2;1;172;217;275;1,2;1;9;217;172;275;1,2;18;54;1120;;;469;469;380;380;189,5;599;499;;;;;;;;;;130,8447;134,42;3,575300001;230,5;;449;;;85161080
Nordic;Melitta;;;;6553111;19434;KAFFEMASKINER;CAFFEO SOLO, SVART;CAFFEO SOLO, SORT;4,01E+12;4,01E+12;4,01E+12;E950-101;1;380;300;545;9,7;1;;380;300;545;9,7;8;16;1050;;;2605;2605;2605;2605;;3490;2690;5652334;;7016314;;300487;;1103889;;;1377,88;1389,18;11,29999997;1917;;3995;;;85167100
Nordic;Melitta;;;;6563530;19499;GLASKANNOR ;GLASKANNA LOOK III / IV, SVART;GLASKANDE LOOK III / IV, SORT;4,01E+12;4,01E+12;4,01E+12;;1;175;190;138;0,44;1;;190;175;138;0,4;24;144;1100;;;109;109;109;109;68;149;149;;;;;;;;;;26,1868;26,2;0,013199999;;;;;;70134200
Nordic;Melitta;;;;6573287;19597;KAFFEMASKINER;CAFFEO SOLO, SILVER/SVART;CAFFEO SOLO, SILVER/SORT;4,01E+12;4,01E+12;4,01E+12;E950-103;1;380;300;545;9,7;1;;380;300;545;9,7;8;16;1050;;;2605;2605;2605;2605;;3490;2690;5447040;;;;;;1103888;;;1377,88;1389,18;11,29999996;1917;;3995;;;85167100
Nordic;Melitta;;;;6575694;19637;GLASKANNOR ;GLASKANNA GRANDE 1,6L, SVART;GLASKANDE GRANDE 1,6L, SORT;4,01E+12;4,01E+12;4,01E+12;;1;144;186;176;0,42;1;;144;186;176;0,4;24;120;1170;;;78,4;78,4;94,3;94,3;;;;;;;;;;;;;27,26;31,70000001;4,440000007;;;;;;70134200
Nordic;Melitta;;;;6578268;19668;THERMKANNOR ;TERMOKANNA LOOK THERM  DE LUXE III, SVART/SILVER;TERMOKANDELOOK THERM  DE LUXE III, SORT/SILVER;4,01E+12;4,01E+12;4,01E+12;;1;180;180;188;0,91;1;6;180;180;188;0,9;24;96;800;;;174,9;174,9;150,5;150,5;;;;;;;;;;;;;77,92;79,8;1,88;;;;;;96170000
Nordic;Melitta;;;;6578275;19669;THERMKANNOR ;TERMOKANNA LOOK THERM III, SVART;TERMOKANDELOOK THERM III, SORT;4,01E+12;4,01E+12;4,01E+12;;1;180;180;188;0,91;1;6;190;175;138;0,4;24;144;1100;;;174,9;174,9;150,5;150,5;;;;;;;;;;;;;74,48;76,36;1,88;;;;;;96170000
Nordic;Melitta;;;;6578251;19677;THERMKANNOR ;TERMOKANNA LOOK THERM DE LUXE III, VIT/SILVER;TERMOKANDELOOK THERM DE LUXE III, HVID/SILVER;4,01E+12;4,01E+12;4,01E+12;;1;180;180;188;0,91;1;6;180;180;188;0,9;24;96;800;;;174,9;174,9;150,5;150,5;;;;;;;;;;;;;77,92;79,8000001;1,880000103;;;;;;96170000
Nordic;Melitta;;;;6604646;19816;KAFFEMASKINER;CAFFEO CI SVART;CAFFEO CI SORT;4,01E+12;4,01E+12;4,01E+12;E970-103;1;571;387;419;11,3;1;;571;387;419;11,3;4;8;980;;;6533;6533;6533;6533;;8990;7790;;;;;104947;;1130137;;;2718,01;2740,610005;22,60000457;5718;;10990;;;85167100
Nordic;Melitta;;;;6604776;19817;KAFFEMASKINER;CAFFEO CI SILVER;CAFFEO CI SILVER;4,01E+12;4,01E+12;4,01E+12;E970-101;1;571;387;419;11,3;1;;571;387;419;11,3;4;8;980;;;6533;6533;6533;6533;;8990;7790;6865679;;;;;;1130738;;;2736,58;2759,180001;22,60000089;5718;;10990;;;85167100
Nordic;Melitta;X;;;6581428;19818;TILLBEHÖR ;MOTION PLATTA;MOTION PLADE;4,01E+12;4,01E+12;4,01E+12;;1;262;348;47;1,44;1;;348;262;47;1,4;48;288;192;;;424;424;424;424;206,11;8990;7790;;;;;;;;;;129,1194;129,75;0,6306;230;230;499;;;85169000
